Code IRIS de Roubaix,nb_venues,nb_venues_postes_informatiques,nb_venues_prets,nb_venues_prets_bus,nb_venues_prets_mediatheque,nb_venues_salle_etude,nb_venues_wifi,nb_inscrits,revenu_fiscal_median_par_uc,pos,indice,Nom de l’IRIS à Roubaix,nb_hab,indice_nb_hab,iris_part_inscrits
595120101.0,6.755208333333333,3.7395833333333335,3.1302083333333335,0.16145833333333334,2.96875,0.057291666666666664,0.4583333333333333,192,8472,G3,"0,888050314465409",MACKELLERIE,2267,"0,911241101367719",0.08723423026025584
595120102.0,6.339887640449438,2.1769662921348316,4.129213483146067,0.3651685393258427,3.764044943820225,0.17134831460674158,0.3258426966292135,356,10913,G5,"1,14392033542977",FRESNOY,3656,"1,46956218200281",0.10029540481400438
595120201.0,8.912587412587413,6.059440559440559,2.895104895104895,0.04895104895104895,2.8461538461538463,0.1958041958041958,0.5174825174825175,286,7222,G2,"0,757023060796646",FOSSE AUX CHENES,2832,"1,13834794842231",0.1040183615819209
595120202.0,7.448275862068965,4.563218390804598,2.4655172413793105,0.39080459770114945,2.074712643678161,0.29310344827586204,0.6839080459770115,174,4105,G1,"0,430293501048218",ALMA SUD,2284,"0,918074404730423",0.0784676007005254
595120203.0,6.719745222929936,3.961783439490446,2.3312101910828025,0.33121019108280253,2.0,0.5159235668789809,0.9363057324840764,157,6063,G1,"0,635534591194969",ALMA NORD,1806,"0,725937992532024",0.0895404208194906
595120301.0,8.170305676855895,4.864628820960698,3.1790393013100435,1.165938864628821,2.013100436681223,0.17467248908296942,0.834061135371179,229,9073,G4,"0,95104821802935",ENTREPONT-CARTIGNY,2782,"1,11824999735553",0.084784327821711
595120302.0,5.839285714285714,1.380952380952381,4.2976190476190474,0.48214285714285715,3.8154761904761907,0.1488095238095238,0.27976190476190477,168,10237,G5,"1,0730607966457",HUTIN-ORAN,2528,"1,0161524059363",0.06844936708860759
595120303.0,8.966666666666667,5.309523809523809,3.7476190476190476,0.29523809523809524,3.4523809523809526,0.5095238095238095,0.7476190476190476,210,7078,G2,"0,741928721174004",CUL DE FOUR,3189,"1,28184731903911",0.067826904985889
595120401.0,7.9,4.8578947368421055,3.068421052631579,0.4473684210526316,2.6210526315789475,0.9473684210526315,0.2789473684210526,190,6545,G1,"0,686058700209644",HOMMELET NORD,2182,"0,877074584554196",0.08968835930339139
595120402.0,12.063197026022305,8.762081784386616,3.2490706319702602,0.21561338289962825,3.033457249070632,0.4795539033457249,1.5055762081784387,269,8003,G3,"0,838888888888889",HOMMELET CENTRE,2944,"1,18336735881189",0.09411345108695653
595120403.0,6.143497757847534,2.780269058295964,3.2466367713004485,0.02242152466367713,3.2242152466367715,0.452914798206278,0.3273542600896861,223,8859,G3,"0,928616352201258",HOMMELET SUD,2208,"0,88752551910892",0.10402626811594202
595120501.0,8.512987012987013,4.474025974025974,4.487012987012987,0.08441558441558442,4.402597402597403,0.6623376623376623,0.2532467532467532,154,6568,G2,"0,688469601677149",EPEULE NORD,1934,"0,777388747262976",0.08201654601861427
595120502.0,8.607142857142858,5.200892857142857,3.8839285714285716,0.24107142857142858,3.642857142857143,1.1517857142857142,0.15178571428571427,224,7338,G2,"0,769182389937107",EPEULE CENTRE,2695,"1,08327956249934",0.08561038961038961
595120503.0,8.258928571428571,2.888392857142857,5.535714285714286,0.0625,5.473214285714286,0.19196428571428573,0.29464285714285715,224,11818,G5,"1,23878406708595",EPEULE SUD,2011,"0,808339591905815",0.1147289905519642
595120504.0,7.212820512820513,3.5384615384615383,4.184615384615385,0.010256410256410256,4.174358974358975,0.19743589743589743,0.3974358974358974,390,9041,G4,"0,94769392033543",TRICHON,2684,"1,07885801326465",0.14966467958271237
595120601.0,9.599514563106796,4.939320388349515,4.716019417475728,0.05339805825242718,4.662621359223301,0.3325242718446602,0.5194174757281553,412,10640,G5,"1,11530398322851",ESPERANCE CENTRE,2028,"0,815172895268519",0.20925049309664695
595120602.0,10.399038461538462,6.264423076923077,4.170673076923077,0.019230769230769232,4.1514423076923075,0.16346153846153846,0.9927884615384616,416,9469,G4,"0,992557651991614",NATIONS UNIES,2645,"1,06318161143256",0.16199621928166352
595120603.0,7.371345029239766,3.391812865497076,4.12280701754386,0.005847953216374269,4.116959064327485,0.2309941520467836,0.4269005847953216,342,9584,G4,"1,00461215932914",ANSEELE,3324,"1,33611178691941",0.10597472924187726
595120701.0,10.10576923076923,1.5649038461538463,8.201923076923077,0.09134615384615384,8.110576923076923,0.6634615384615384,0.71875,416,24340,G6,"2,55136268343815",BARBIEUX-VAUBAN,3722,"1,49609147741096",0.11512090274046212
595120702.0,7.8628318584070795,1.9380530973451326,5.946902654867257,0.6283185840707964,5.31858407079646,0.022123893805309734,0.06637168141592921,226,27475,G6,"2,87997903563941",BARBIEUX SUD,2088,"0,839290436548653",0.11148467432950192
595120703.0,6.057142857142857,1.2142857142857142,4.945714285714286,0.6771428571428572,4.268571428571429,0.2,0.07142857142857142,350,16318,G6,"1,7104821802935",EDOUART VAILLANT,2979,"1,19743592455864",0.12101376300772071
595120801.0,8.967032967032967,4.835164835164835,3.347985347985348,0.054945054945054944,3.293040293040293,0.7948717948717948,1.0146520146520146,273,8381,G3,"0,878511530398323",MOULIN NORD,2549,"1,02459354538435",0.1103138485680659
595120802.0,6.004016064257028,2.36144578313253,3.3815261044176705,0.3373493975903614,3.0441767068273093,0.3333333333333333,0.6345381526104418,249,9423,G4,"0,987735849056604",MOULIN SUD,2385,"0,958672265885315",0.10753459119496857
595120803.0,6.726470588235294,1.2911764705882354,5.3882352941176475,0.9058823529411765,4.482352941176471,0.14411764705882352,0.2088235294117647,340,14598,G6,"1,53018867924528",POTENNERIE,2957,"1,18859282608926",0.1184308420696652
595120901.0,6.125523012552302,2.8953974895397487,3.3682008368200838,0.12552301255230125,3.2426778242677825,0.4225941422594142,0.401673640167364,239,7920,G3,"0,830188679245283",SAINTE-ELISABETH CENTRE,2477,"0,995652495848186",0.09938231731933792
595120902.0,7.4236453201970445,2.748768472906404,4.458128078817734,0.5615763546798029,3.896551724137931,0.3694581280788177,0.5221674876847291,203,7941,G3,"0,832389937106918",SAINTE-ELISABETH SUD,1903,"0,764928017601574",0.10987388334209143
595120903.0,7.690104166666667,3.484375,4.328125,0.3880208333333333,3.9401041666666665,0.4505208333333333,0.4427083333333333,384,8677,G3,"0,909538784067086",SAINTE-ELISABETH NORD,2818,"1,13272052212361",0.14035486160397445
595121001.0,5.466666666666667,2.528205128205128,2.9743589743589745,0.7948717948717948,2.1794871794871793,0.2205128205128205,0.3128205128205128,195,7277,G2,"0,762788259958071",PILE EST,2207,"0,887123560087585",0.0910058903488899
595121002.0,4.628865979381444,2.0051546391752577,2.6804123711340204,0.5,2.1804123711340204,0.17525773195876287,0.27835051546391754,194,6419,G1,"0,672851153039832",PILE CENTRE,2616,"1,05152479981383",0.07638379204892966
595121003.0,8.213178294573643,4.5271317829457365,3.356589147286822,0.2558139534883721,3.10077519379845,0.05813953488372093,1.0891472868217054,258,7885,G2,"0,826519916142558",PILE NORD,2142,"0,860996223700773",0.12406162464985995
595121101.0,15.244444444444444,12.133333333333333,3.3777777777777778,0.044444444444444446,3.3333333333333335,1.0222222222222221,0.6666666666666666,45,4648,G1,"0,487211740041929",TROIS PONTS NORD,1040,"0,418037382188984",0.04456730769230769
595121102.0,7.977011494252873,4.390804597701149,4.109195402298851,0.9655172413793104,3.1436781609195403,0.5747126436781609,0.6091954022988506,174,6362,G1,"0,666876310272537",TROIS PONTS SUD,2264,"0,910035224303712",0.079160777385159
595121103.0,6.307086614173229,2.7559055118110236,3.2283464566929134,0.5196850393700787,2.7086614173228347,0.25984251968503935,0.4881889763779528,127,9988,G5,"1,04696016771488",SARTEL,1796,"0,721918402318669",0.07283407572383073
595121201.0,6.920972644376899,2.346504559270517,5.130699088145897,0.9483282674772037,4.182370820668693,0.060790273556231005,0.1033434650455927,329,15408,G6,"1,61509433962264",LINNE CHEMIN NEUF,3041,"1,22235738388144",0.11143373890167708
595121202.0,6.732919254658385,2.7267080745341614,4.180124223602484,0.5527950310559007,3.627329192546584,0.21739130434782608,0.11180124223602485,161,15934,G6,"1,67023060796646",JUSTICE,2109,"0,8477315759967",0.07862968231389285
595121203.0,6.2905982905982905,1.6923076923076923,4.602564102564102,0.33760683760683763,4.264957264957265,0.15384615384615385,0.27350427350427353,234,12881,G5,"1,35020964360587",FRATERNITE,2679,"1,07684821815797",0.08996640537513999
595121301.0,7.011111111111111,2.7888888888888888,4.316666666666666,1.0055555555555555,3.311111111111111,0.6166666666666667,0.05555555555555555,180,9747,G4,"1,02169811320755",NOUVEAU ROUBAIX,2302,"0,925309667114463",0.08053866203301477
595121302.0,5.614864864864865,1.527027027027027,4.297297297297297,0.21621621621621623,4.081081081081081,0.06756756756756757,0.12162162162162163,148,9127,G4,"0,956708595387841",HAUTS CHAMPS,2464,"0,990427028570824",0.06186688311688312
